type,geometry.type,geometry.coordinates,properties.SUBTYPECD,properties.GRID_ADDRE,properties.WATTS,properties.FIXTURE_ST,properties.DECAL_COLO,properties.DECAL_NUMB,properties.LAMP_CD,properties.USE_CD,properties.MOUNT_HEIG,properties.OWNER,properties.BRACKET_CD,properties.BRACKET_LN,properties.INSTALL_DA,properties.RELATEDPOL,properties.FIRSTONPOL,properties.BRIDGE_IND,properties.MATERIAL_C,properties.STYLE,properties.WORK_EFFEC,properties.WORK_REQUE,properties.LUMENS,properties.CONTRACT_N,properties.NOM_VOLT,properties.SYMBOLROTA,properties.SUBMISSION,properties.WORKREQUES,properties.DESIGNID,properties.WORKLOCATI,properties.WORKFLOWST,properties.WORKFUNCTI,properties.ENABLED,properties.NONSTANDAR,properties.NONSTAND_1,properties.STREETLIGH,properties.PREMISE_ID,properties.ISWATCHLIG,properties.INSPECTION,properties.BASIC_PREM,properties.CUID,properties.PATTERN,properties.COLOR_TEMP,properties.BASE_COLOR,long,lat,copyright,date,pano_id,status,view_lat,view_long
Feature,Point,"[-78.512581, 38.013327]",1,F2324QJ4500,150,ENCL,YLO,15,HPS,STL,0,DOM,,,2013/10/30,14165817,YES,NO,W,STD,2013/10/30,8767973,14000,374030,0,356.0,CHV01,,,,0,0,1,,,CPR,0,,,,,,,,-78.51258100000003,38.013327,© Google,2012-07,5i-R5iOvjWh0qWIkYql8Tw,OK,38.01331826893757,-78.51255651981856
Feature,Point,"[-78.509105, 38.040447]",1,F2325SO6100,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,16116105,YES,NO,W,STD,2010/07/28,4441539,14000,374030,0,140.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.509105,38.040447,© Google,2019-07,RsnLY0xsu_Ck5699XbpLJg,OK,38.04036667542833,-78.50910378159865
Feature,Point,"[-78.487277, 38.03632]",1,G0025HL1100,400,ENCL,YLO,40,HPS,STL,0,DOM,,,,16115974,YES,NO,C,STD,2010/08/29,7320649,42000,374030,0,216.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.487277,38.03632,© Google,2019-07,nB2Q7Zexj-OGk7xAL2bk_w,OK,38.036276299836075,-78.48731235776444
Feature,Point,"[-78.503972, 38.047255]",1,F2326VE6100,400,ENCL,YLO,40,HPS,STL,0,DOM,,,,14200303,YES,NO,W,STD,2010/08/31,7320655,42000,374030,0,153.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.50397199999998,38.047255,© Google,2019-07,e4Ee_GBLVRG9Vt_VOaB5sw,OK,38.04725079174166,-78.50402961490961
Feature,Point,"[-78.485643, 38.034845]",1,G0025IK1100,400,ENCL,YLO,40,HPS,STL,0,DOM,,,,16117163,YES,NO,S,STD,2010/11/03,7334026,42000,374030,0,60.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.48564300000002,38.034845,© Google,2019-07,mHTOGX9wql3fhofhpkh17A,OK,38.03488282143632,-78.48556783422913
Feature,Point,"[-78.511501, 38.038451]",1,F2325RM1700,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,14165524,YES,NO,W,STD,2010/10/19,4550118,14000,374030,0,241.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.511501,38.038451,© Google,2015-10,mptoV29UgKiqJmwK3GWI0Q,OK,38.038459776005396,-78.51154396311595
Feature,Point,"[-78.50019, 38.043369]",1,F2326XB6100,150,ENCL,YLO,15,HPS,STL,0,DOM,,,,14199654,YES,NO,W,STD,2010/10/26,7334023,14000,374030,0,243.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.50019,38.043369,© Google,2019-07,6Tz1JEK3_ymrL5AebYzqNA,OK,38.04331791561695,-78.5001568534272
Feature,Point,"[-78.475043, 38.054384]",1,G0026OJ3100,100,ENFL,YLO,10,HPS,STL,0,DOM,,,2016/02/29,16116615,YES,NO,W,STD,2016/02/29,31137599,8000,374030,0,279.0,CHV01,,,,0,0,1,,,CPR,0,,,,,,,,-78.475043,38.05438400000001,© Google,2019-07,6rzkT-rn7BbMcSlX08-r9g,OK,38.05434386022506,-78.47493993768107
Feature,Point,"[-78.505787, 38.026959]",1,F2325UE5200,100,ENCL,YLO,10,HPS,STL,0,DOM,,6.0,,14164936,YES,NO,W,STD,2010/11/03,4562329,8000,374030,0,280.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.505787,38.02695900000001,© Google,2012-08,C-lTp56AEpHyA0wZEZwYYQ,OK,38.0268507,-78.50586340000002
Feature,Point,"[-78.499106, 38.029334]",4,G0025AG3000,175,ENCL,LTBL,17,MV,STL,0,DOM,,,,880462,YES,NO,W,STD,2016/11/08,7777777,7000,374030,0,110.0,CHV01,,,,0,0,1,,,,0,,,,,,,,-78.49910600000003,38.02933400000001,© Google,2012-08,oTpw4uiTyUFqYtYmivvQgg,OK,38.029348147972115,-78.49912090901462
