geometry.coordinates,properties.GRID_ADDRE,properties.FIXTURE_ST,long,lat,copyright,date,pano_id,status,view_lat,view_long,streetview_dist,light_shown,pole_shown,able_zoom,pan_need,bearing_adj,remove
"[-78.474902, 38.042152]",G0026OA0900,ULFL,-78.474902,38.042152,© Google,2019-07,HwZtW_cfmI71ZkjgHoCvXA,OK,38.04226065,-78.47477349,16.51322419,1,1,1,,,
"[-78.508646, 38.036889]",F2325SL7600,ENCL,-78.508646,38.036889,© Google,2019-07,thdDfdwBrEr6E9NTY036gw,OK,38.0367448,-78.50869492,16.57138562,,1,1,,,
"[-78.508676, 38.039901]",F2325SN8800,ENCL,-78.508676,38.039901,© Google,2015-10,zbwoadc2y_ydl3rbr0oYcQ,OK,38.0400506,-78.50865912,16.67161176,,,,,,
"[-78.456213, 38.026943]",G0125BE0300,COLN,-78.456213,38.026943,© Google,2019-07,hVPsXXxZdfru0GGYZO-EbA,OK,38.02709245,-78.45618777,16.73555787,,,,,,
"[-78.491635, 38.033419]",G0025EI7900,CTMP,-78.491635,38.033419,© Google,2019-07,abFqteRRx0qO27xuuA8psA,OK,38.03356861,-78.49160871,16.76624921,1,1,1,,,
"[-78.495641, 38.024548]",G0025CC4500,COLN,-78.495641,38.024548,© Google,2012-08,5r2xCvj61XT5E_TUpET3Tw,OK,38.024396,-78.4956451,16.87537505,1,1,1,,,
"[-78.475478, 38.032973]",G0025NI9600,ENCL,-78.475478,38.032973,© Google,2012-08,v2j_kKskQLuNgE481eChrg,OK,38.0329112,-78.4753012,16.97002083,,1,1,,,
"[-78.501038, 38.024586]",F2325XC2600,ENCL,-78.501038,38.024586,© Google,2012-08,WPxx4BhG-GGUrzuEiC0nqw,OK,38.02450797,-78.50120467,17.00538513,,,,,,
"[-78.484023, 38.027287]",G0025IE9600,COLN,-78.484023,38.027287,© Google,2012-08,3AHp-TFcnV0OeROZ4t27RA,OK,38.0274349,-78.4840782,17.11692311,1,1,1,,,
"[-78.511155, 38.029147]",F2325RF3900,ENCL,-78.511155,38.029147,© Google,2015-10,40M4QX0XLeyzrIVF3mTj_g,OK,38.02919588,-78.51134005,17.12937419,1,1,1,,,
"[-78.478718, 38.030548]",G0025MG0800,ENCL,-78.478718,38.030548,© Threshold 360,2017-03,CAoSLEFGMVFpcFBIb1hoMHljWGNzdGZVQWVHWlYxVkhmQWlZZ3RBMUdXcU9KYXR1,OK,38.0306564,-78.47886249,17.48402871,,,,,,
"[-78.474016, 38.064154]",G0027OB8000,ENCL,-78.474016,38.064154,© Google,2014-10,F4hbPPnkZ2zlxId7qknrSw,OK,38.06431377,-78.47402649,17.75803248,,1,1,,,
"[-78.473147, 38.054016]",G0026PI3900,ENCL,-78.473147,38.054016,© Google,2019-07,fNv_rZxscd_rNS1HmDLVfw,OK,38.0540066,-78.47294473,17.78319148,1,1,1,,,
"[-78.481549, 38.059965]",G0026KN5300,ENCL,-78.481549,38.059965,© Google,2014-10,HCRiUWg1SWAppLvampXSTw,OK,38.0600194,-78.4813579,17.82499693,,1,1,,,
"[-78.486727, 38.018784]",G0024HN5800,ENCL,-78.486727,38.018784,© Google,2008-09,7FufkASVHX0oj1URH-pHgg,OK,38.0188795,-78.4865621,17.94521592,,,,,,
"[-78.472169, 38.053425]",G0026PI9600,COLN,-78.472169,38.053425,© Google,2014-10,UUHbXBEC-nhK31jg-EAdUg,OK,38.05341583,-78.47237318,17.94919073,1,1,1,,,
"[-78.489917, 38.040442]",G0025FO5200,ENCL,-78.489917,38.040442,© Google,2019-07,t9QizdWjbi_qcbYODgcr-A,OK,38.04033218,-78.4897643,18.11830202,1,1,1,,,
"[-78.484675, 38.038351]",G0025IM7500,ENCL,-78.484675,38.038351,© Cville 3D,2020-08,CAoSLEFGMVFpcE9seUhab0NYbkZKMGI2dkNJMFZ6RnpwTHJDYmg2RVc3WXFMYlh0,OK,38.0382609,-78.4848481,18.19153495,1,1,1,,,
"[-78.507682, 38.040218]",F2325TO5000,ENCL,-78.507682,38.040218,© Google,2019-07,ZhvtqG31F_kFTTJ2b0TJ9Q,OK,38.04034898,-78.50755711,18.20904276,,1,1,,,
"[-78.493678, 38.04407]",G0026DB5700,ENCL,-78.493678,38.04407,© Google,2008-08,FeWvCkkqrwHW9Yrm-_CUDQ,OK,38.04412858,-78.49348304,18.30680535,,,,,,
"[-78.455596, 38.024157]",G0125BC4200,CTMP,-78.455596,38.024157,© Google,2019-07,vNn3PovoJ4QgV5YgLYUIYQ,OK,38.0240871,-78.45540581,18.41426439,1,1,1,,,
"[-78.492337, 38.023032]",G0025EB3400,ENCL,-78.492337,38.023032,© Google,2019-07,ePqF_ZUmc0Wtw89zNDa6UA,OK,38.02308814,-78.49253511,18.47745561,,1,1,,,
"[-78.502939, 38.017382]",F2324WM0500,ENCL,-78.502939,38.017382,© Google,2019-07,DCvgwSgQef4Ji4rWew3AAQ,OK,38.017334,-78.502737,18.52084458,1,1,1,,,
"[-78.475065, 38.057985]",G0026OL3900,ENCL,-78.475065,38.057985,© Google,2014-10,Tf-ksjMPn-FC2NmCbK5NSg,OK,38.0580955,-78.4749062,18.56529471,1,1,1,,,
"[-78.46411, 38.028371]",G0025UF5300,ENFL,-78.46411,38.028371,© Google,2019-07,Rj3Fwaa9PfTO9lz6RgiG6w,OK,38.0284412,-78.4639177,18.59497947,1,1,1,,,
"[-78.477147, 38.049843]",G0026NF1900,ENFL,-78.477147,38.049843,© Google,2019-07,jt7rmRYuA-kz9i6u0_Qqyg,OK,38.0496825,-78.477086,18.6022655,,,,,,
"[-78.45564, 38.044781]",G0126BC3200,ENCL,-78.45564,38.044781,© Google,2014-10,mhmBvgKX2QOqzJGI7J6y1Q,OK,38.04472792,-78.45584189,18.67534232,1,1,1,,,
"[-78.516737, 38.013187]",F2324OJ2600,ENCL,-78.516737,38.013187,© Google,2012-10,pjwH-X7CihkL4F-mYo20pg,OK,38.01335679,-78.51672598,18.87092197,1,1,1,,,
"[-78.51791, 38.013088]",F2324NJ5600,ENCL,-78.51791,38.013088,© Google,2012-07,3pDu_vW6ZxQoPWPCVizvkQ,OK,38.0132366,-78.5178008,19.07920383,1,1,1,,,
"[-78.490744, 38.026319]",G0025FD0600,COLN,-78.490744,38.026319,© Google,2017-07,yh8giNNL4nYloWjCJ_9RjQ,OK,38.0263615,-78.4905324,19.16824606,,,,,,
"[-78.478031, 38.048697]",G0026MF4100,RECT,-78.478031,38.048697,© Glenn Curtiss,2017-05,CAoSLEFGMVFpcE13NnpGMU4xTzlSNnhpNTU2UkdkVUFIcGZNY2U4RG51LWFDbk9q,OK,38.0487152,-78.4782483,19.18004733,,,,,,
"[-78.493041, 38.034256]",G0025DJ7500,ENCL,-78.493041,38.034256,© Google,2019-07,AIk-ru_BTaigmK8dPEopMA,OK,38.0341848,-78.4932403,19.1989027,1,1,1,,,
"[-78.488431, 38.042005]",G0026GA6000,COLN,-78.488431,38.042005,© Google,2012-10,tvR5k5yQEHuGiWxII9MxRA,OK,38.041832,-78.4884428,19.23044514,1,1,1,,,
"[-78.486209, 38.01966]",G0024HO7300,ENCL,-78.486209,38.01966,© Google,2008-09,1V1vkRHQN9liv9pDzEwrgw,OK,38.0196212,-78.48599057,19.65811685,1,,1,,,
"[-78.478166, 38.04855]",G0026MF4000,RECT,-78.478166,38.04855,© Glenn Curtiss,2017-05,CAoSLEFGMVFpcE13NnpGMU4xTzlSNnhpNTU2UkdkVUFIcGZNY2U4RG51LWFDbk9q,OK,38.0487152,-78.4782483,19.70839744,,,,,,
"[-78.486083, 38.033941]",G0025HJ8400,ENFL,-78.486083,38.033941,© Google,2012-08,ue0_6ISXZP3Rz4f96chVxA,OK,38.03376001,-78.48607823,20.09337219,,,,,,
